store,category,name,brand,price,promo_price,unit_price,unit,url,scraped_at
Delhaize,Sport en gezondheid,Isostar High energy | Fruit boos | Aardbei smaak,Isostar,7.09,,"70,90 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/High-energy-Fruit-boos-Aardbei-smaak/p/S2013021800213590000,2026-05-10T15:05:21.078565
Delhaize,Sport en gezondheid,Biover Triple Energy | 20tabs,Biover,16.19,,"0,81 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Triple-Energy-20tabs/p/S2020061100436290000,2026-05-10T15:05:21.647772
Delhaize,Sport en gezondheid,Isostar Recovery bar | Chocolade,Isostar,2.55,,"63,75 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Recovery-bar-Chocolade/p/S2007022100206160000,2026-05-10T15:05:22.210142
Delhaize,Sport en gezondheid,Isostar Acti food | Energy | Appelsmaak,Isostar,3.89,,"43,22 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Acti-food-Energy-Appelsmaak/p/S2013021800213540000,2026-05-10T15:05:22.774132
Delhaize,Sport en gezondheid,Isostar Sort Bars | Antioxidant | Cranberry,Isostar,5.79,,"48,25 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Sort-Bars-Antioxidant-Cranberry/p/S2015012100206090000,2026-05-10T15:05:23.343063
Delhaize,Sport en gezondheid,Dextro Energy Blauwe bes,Dextro Energy,2.99,,"21,21 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Blauwe-bes/p/S2021031100525870000,2026-05-10T15:05:23.909069
Delhaize,Sport en gezondheid,Biover B-Complex | Tabs,Biover,11.99,,"0,27 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/B-Complex-Tabs/p/S2021122000595290000,2026-05-10T15:05:24.480695
Delhaize,Sport en gezondheid,Gerlinéa Barre | Caramel,Gerlinéa,15.29,,"41,10 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Snacks/Barre-Caramel/p/S2015101600399040000,2026-05-10T15:05:25.042506
Delhaize,Sport en gezondheid,Biover Neusspoeling | 100ml,Biover,11.45,,"114,50 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Neusspoeling-100ml/p/S2020111700471170000,2026-05-10T15:05:25.608654
Delhaize,Sport en gezondheid,Biover Multivitamine+ | Bruistabletten,Biover,6.39,,"0,32 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Multivitamine-Bruistabletten/p/S2022012800602420000,2026-05-10T15:05:26.178943
Delhaize,Sport en gezondheid,Biover Echinacea forte | Caps,Biover,10.19,,"0,34 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Echinacea-forte-Caps/p/S2022033000616360000,2026-05-10T15:05:26.743587
Delhaize,Sport en gezondheid,Isostar Power tabs | Fast hydration | Sinaasappel,Isostar,8.09,,"67,42 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Power-tabs-Fast-hydration-Sinaasappel/p/S2004092200209360000,2026-05-10T15:05:27.315995
Delhaize,Sport en gezondheid,Davitamon Teens Multivitamins | 60 tabs,Davitamon,17.99,,"0,30 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Teens-Multivitamins-60-tabs/p/S2022041200618930000,2026-05-10T15:05:27.881087
Delhaize,Sport en gezondheid,Biover Dennensiroop | Bio,Biover,12.75,,"85,00 €/l",,https://www.delhaize.be/nl/shop/Bio-Eco-en-Fairtrade/Bio/Hygiene-en-verzorging/Parafarmaceutische-producten/Dennensiroop-Bio/p/S2003010200124910000,2026-05-10T15:05:28.448602
Delhaize,Sport en gezondheid,Biover Valerania forte | Caps,Biover,12.99,,"0,29 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Valerania-forte-Caps/p/S2022033100616460000,2026-05-10T15:05:29.006485
Delhaize,Sport en gezondheid,Biover Keelspray | 20ml,Biover,10.15,,"507,50 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Keelspray-20ml/p/S2020111700471190000,2026-05-10T15:05:29.566768
Delhaize,Sport en gezondheid,Biover Neusspray | 20ml,Biover,10.25,,"512,50 €/l",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Neusspray-20ml/p/S2020111700471160000,2026-05-10T15:05:30.141004
Delhaize,Sport en gezondheid,Biover Vitamine E | 100 caps,Biover,16.59,,"0,17 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Vitamine-E-100-caps/p/S2020111700471110000,2026-05-10T15:05:30.706061
Delhaize,Sport en gezondheid,Ymea Platte buik | 64 caps,Ymea,25.49,,"0,40 €/st",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Vitaminen-and-supplementen/Platte-buik-64-caps/p/S2020120700474990000,2026-05-10T15:05:31.275617
Delhaize,Sport en gezondheid,Isostar Eiwitrijke reep | Chocolade,Isostar,2.65,,"48,18 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Eiwitrijke-reep-Chocolade/p/S2023060800706170000,2026-05-10T15:05:31.843233
Delhaize,Sport en gezondheid,Gerlinéa Reep | Proteïne | Chocolade-noten,Gerlinéa,2.29,,"50,89 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Snacks/Reep-Proteine-Chocolade-noten/p/S2024092000790940000,2026-05-10T15:05:32.402621
Delhaize,Sport en gezondheid,Pulse Proteïnepoeder | Chocolade,Pulse,29.99,,"39,99 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitpoeder/Proteinepoeder-Chocolade/p/S2024121300812740000,2026-05-10T15:05:32.971136
Delhaize,Sport en gezondheid,Isostar Eiwitrijke reep | Karamel,Isostar,2.65,,"48,18 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Eiwitrijke-reep-Karamel/p/S2023060800706210000,2026-05-10T15:05:33.532639
Delhaize,Sport en gezondheid,Isostar Eiwitrijke reep,Isostar,2.65,,"48,18 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Sportvoeding/Eiwitrijke-snacks/Eiwitrijke-reep/p/S2023060800706130000,2026-05-10T15:05:34.101245
Delhaize,Sport en gezondheid,Gerlinéa Reep | Proteïne | Chocolade-amandel,Gerlinéa,2.29,,"50,89 €/kg",,https://www.delhaize.be/nl/shop/Sport-and-Gezondheid/Diet/Snacks/Reep-Proteine-Chocolade-amandel/p/S2024092000791000000,2026-05-10T15:05:34.659938
